locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4964742.1	100.000	72	6.49e-47	148
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4950975.1	100.000	72	6.49e-47	148
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4977368.1	98.611	72	1.20e-46	147
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4957694.1	98.611	72	6.51e-46	146
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL5042968.1	62.025	79	3.52e-25	93.2
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL5038379.1	62.025	79	3.52e-25	93.2
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL5052718.1	58.228	79	2.24e-24	91.3
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4995501.1	56.944	72	2.85e-24	90.9
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL5098268.1	58.333	72	3.94e-24	90.5
locus_012|CM027122.1_13739799-13760142_tblastn|source=tblastn	CAL4982396.1	56.944	72	6.28e-24	89.7
