locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL5073370.1	100.000	73	1.25e-49	155
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL5087382.1	100.000	73	1.30e-49	155
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL5082316.1	100.000	73	1.30e-49	155
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL4988377.1	78.082	73	5.98e-40	130
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL4984670.1	78.082	73	5.98e-40	130
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL4981271.1	78.082	73	5.98e-40	130
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL4993669.1	78.082	73	9.15e-40	130
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL5057279.1	73.973	73	1.12e-37	125
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL5021042.1	73.973	73	1.12e-37	125
locus_002|CM027119.1_57431465-57436138_tblastn|source=tblastn	CAL4886855.1	73.973	73	1.12e-37	125
