locus_009|MP000004|source=tblastn+miniprot	CAL4978606.1	99.422	173	3.77e-125	351
locus_009|MP000004|source=tblastn+miniprot	CAL4966042.1	99.422	173	3.77e-125	351
locus_009|MP000004|source=tblastn+miniprot	CAL4952393.1	98.844	173	1.45e-124	349
locus_009|MP000004|source=tblastn+miniprot	CAL4958999.1	97.688	173	2.16e-123	347
locus_009|MP000004|source=tblastn+miniprot	CAL5036879.1	76.923	169	8.67e-100	287
locus_009|MP000004|source=tblastn+miniprot	CAM0151951.1	76.331	169	9.88e-100	287
locus_009|MP000004|source=tblastn+miniprot	CAM0146821.1	76.331	169	9.88e-100	287
locus_009|MP000004|source=tblastn+miniprot	CAL5051155.1	76.331	169	9.88e-100	287
locus_009|MP000004|source=tblastn+miniprot	CAL5044486.1	76.331	169	1.26e-99	286
locus_009|MP000004|source=tblastn+miniprot	CAL5057279.1	68.452	168	8.75e-89	259
