locus_015|MP000005|source=tblastn+miniprot	CAL4978606.1	99.408	169	5.05e-122	342
locus_015|MP000005|source=tblastn+miniprot	CAL4966042.1	99.408	169	5.05e-122	342
locus_015|MP000005|source=tblastn+miniprot	CAL4952393.1	98.817	169	1.97e-121	341
locus_015|MP000005|source=tblastn+miniprot	CAL4958999.1	97.633	169	2.99e-120	338
locus_015|MP000005|source=tblastn+miniprot	CAL5036879.1	76.923	169	5.25e-100	286
locus_015|MP000005|source=tblastn+miniprot	CAM0151951.1	76.331	169	6.19e-100	286
locus_015|MP000005|source=tblastn+miniprot	CAM0146821.1	76.331	169	6.19e-100	286
locus_015|MP000005|source=tblastn+miniprot	CAL5051155.1	76.331	169	6.19e-100	286
locus_015|MP000005|source=tblastn+miniprot	CAL5044486.1	76.331	169	8.05e-100	286
locus_015|MP000005|source=tblastn+miniprot	CAL5057279.1	68.452	168	4.69e-89	259
